slug,estateName,titleZh,district,subDistrict,bedrooms,saleableArea,price,priceMax,status,dataCompleteness,sourceUrl
central-residence-by-the-park,Central Residence By The Park,雅盈峰,中半山,3-6 Glenealy,1,400,,,active,partial,https://www.28hse.com/en/new-properties/central-residence-by-the-park
house-muse,House Muse,瑧博,九龍城,3 Nga Tsin Long Road,1,580,14492000,14492000,active,full,https://www.28hse.com/en/new-properties/house-muse
park-college,Park College,,九龍塘,57A Nga Tsin Wai Road,3,400,,,active,partial,https://www.28hse.com/en/new-properties/park-college
austin-bohemian,Austin Bohemian,瑧爾,佐敦,530 Canton Road,1,212,4918000,10168000,sold_out,full,https://www.28hse.com/en/new-properties/austin-bohemian
233-prince-edward-road-west,233 Prince Edward Road West,太子道西233號,何文田,233 Prince Edward Road West,2,400,,,active,partial,https://www.28hse.com/en/new-properties/233-prince-edward-road-west
phase-1b-of-in-one,Phase 1B of IN ONE,瑜一 1B期,何文田,1 Chung Hau Street,1,336,7817000,30453000,active,full,https://www.28hse.com/en/new-properties/IN-ONE-phase-1B
grand-mayfair-i,Grand Mayfair I,柏瓏 I,元朗,No.29 Kam Ho Road,1,339,6080000,14907000,sold_out,full,https://www.28hse.com/en/new-properties/grand-mayfair-I
hava,Hava,朗天峰,元朗,39 Shap Pat Heung Road,1,245,2667000,6453000,active,full,https://www.28hse.com/en/new-properties/Hava
the-yoho-hub-ii,The YOHO Hub II,,元朗,No. 1 Long Lok Road,1,436,6594000,15814000,active,full,https://www.28hse.com/en/new-properties/the-yoho-hub-II
kabitat-tin-hau,Kabitat Tin Hau,嘉居天後,北角,33 King's Road,2,361,7429000,11677000,active,full,https://www.28hse.com/en/new-properties/kabitat-tin-hau
state-pavilia,State Pavilia,皇都,北角,277-291 King's Road,1,321,6134000,22890000,sold_out,full,https://www.28hse.com/en/new-properties/state-pavilia
double-coast-i,Double Coast I,,啟德,19 Shing Fung Road,0,265,4225000,13624000,active,full,https://www.28hse.com/en/new-properties/double-coast-i
phase-1-of-victoria-blossom,Phase 1 of Victoria Blossom,花語海 1期,啟德,16 Shing Fung Road,2,400,,,active,partial,https://www.28hse.com/en/new-properties/phase1-of-victoria-blossom
phase-2-of-victoria-blossom,Phase 2 of Victoria Blossom,花語海 2期,啟德,16 Shing Fung Road,2,400,,,active,partial,https://www.28hse.com/en/new-properties/phase2-of-victoria-blossom
phase-2b-of-victoria-voyage,Phase 2B of Victoria Voyage,維港灣畔 2B期,啟德,18 Shing Fung Road,1,400,,,active,partial,https://www.28hse.com/en/new-properties/phase2b-of-victoria-voyage
kennedy-bay,Kennedy Bay,海嵎,堅尼地城,1 Davis Street,1,400,,,active,partial,https://www.28hse.com/en/new-properties/kennedy-bay
